"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 27, 2017","230.40","230.82","230.96","230.17","2.51M","-0.15%"
"Jan 26, 2017","230.75","230.79","231.10","230.40","3.28M","-0.03%"
"Jan 25, 2017","230.82","230.09","230.96","229.89","3.87M","0.81%"
"Jan 24, 2017","228.96","227.80","229.47","227.66","2.52M","0.61%"
"Jan 23, 2017","227.57","227.74","228.18","226.66","3.77M","-0.23%"
"Jan 20, 2017","228.10","228.08","228.69","227.44","3.08M","0.33%"
"Jan 19, 2017","227.35","228.21","228.40","226.79","2.61M","-0.32%"
"Jan 18, 2017","228.08","227.95","228.17","227.29","3.21M","0.19%"
"Jan 17, 2017","227.64","227.71","228.16","227.19","4.93M","-0.33%"
"Jan 13, 2017","228.39","228.13","228.79","228.07","4.58M","0.18%"
"Jan 12, 2017","227.97","227.88","228.14","226.32","3.54M","-0.19%"
"Jan 11, 2017","228.41","227.76","228.43","226.96","4.01M","0.27%"
"Jan 10, 2017","227.80","227.83","228.82","227.38","2.96M","-0.04%"
"Jan 09, 2017","227.90","228.27","228.47","227.81","2.36M","-0.32%"
"Jan 06, 2017","228.64","227.91","229.13","227.28","3.11M","0.40%"
"Jan 05, 2017","227.74","227.63","227.96","226.85","2.97M","-0.09%"
"Jan 04, 2017","227.95","226.96","228.11","226.95","4.10M","0.60%"
"Jan 03, 2017","226.58","226.40","227.20","225.24","6.40M","0.71%"
"Dec 30, 2016","224.99","226.13","226.20","224.09","5.46M","-0.34%"
"Dec 29, 2016","225.75","225.85","226.25","225.21","4.48M","-0.01%"
"Dec 28, 2016","225.77","227.95","227.95","225.64","3.97M","-0.82%"
"Dec 27, 2016","227.64","227.39","228.10","227.39","2.56M","0.28%"
"Dec 23, 2016","227.00","226.82","227.08","226.58","2.61M","0.07%"
"Dec 22, 2016","226.85","226.97","227.10","226.29","2.28M","-0.15%"
"Dec 21, 2016","227.18","227.67","227.83","227.14","2.82M","-0.82%"
"Dec 20, 2016","229.05","228.82","229.24","228.54","3.59M","0.39%"
