,activation,alpha,batch_size,estimator,hidden_layer_sizes1,hidden_layer_sizes2,max_iter,solver
40,2,0.006722233879679321,72.0,0,61.0,42.0,4979.0,1
41,0,0.004819081870299894,90.0,0,67.0,37.0,3155.0,1
42,2,0.0074928965319481025,120.0,0,71.0,43.0,3330.0,1
43,0,0.001223608692932506,59.0,0,77.0,37.0,4009.0,1
44,0,0.002468155100022532,50.0,0,70.0,31.0,3500.0,1
45,2,0.008516799105812359,58.0,0,99.0,34.0,4957.0,1
46,0,0.009164534158566951,139.0,0,87.0,45.0,3442.0,1
47,2,0.0063805418727997595,82.0,0,98.0,34.0,4395.0,1
48,0,0.007614396741632536,67.0,0,81.0,44.0,3608.0,1
49,0,0.00734889780278283,139.0,0,57.0,42.0,3255.0,1
50,0,0.004782153981961752,121.0,0,94.0,39.0,3843.0,1
51,0,0.008549839463959666,133.0,0,69.0,34.0,2536.0,1
52,2,0.008395753925585378,64.0,0,80.0,43.0,3781.0,1
53,0,0.004919604384649289,95.0,0,90.0,41.0,3840.0,1
54,0,0.00233116504574546,109.0,0,66.0,43.0,4250.0,1
55,0,0.0027613504601659345,80.0,0,84.0,37.0,4372.0,1
56,1,0.007564034059382208,72.0,0,68.0,50.0,3784.0,1
57,0,0.0016036453161568521,53.0,0,75.0,40.0,3765.0,1
58,2,0.0032755255928576857,132.0,0,76.0,36.0,2870.0,1
59,0,0.007105842185598997,70.0,0,84.0,33.0,3515.0,1
60,0,0.002012558487833669,61.0,0,70.0,39.0,4387.0,1
61,0,0.007727626318970724,118.0,0,80.0,36.0,3925.0,1
62,0,0.009654301838435003,126.0,0,66.0,45.0,4152.0,1
63,2,0.008992209900144685,143.0,0,58.0,39.0,4277.0,1
64,2,0.0046834787043241915,60.0,0,81.0,43.0,3874.0,1
65,0,0.005046191994636501,61.0,0,97.0,36.0,4943.0,1
66,2,0.006132698819161949,103.0,0,81.0,31.0,3446.0,1
67,2,0.007635195182762764,105.0,0,88.0,37.0,4072.0,1
68,0,0.003918204890339147,62.0,0,99.0,46.0,3958.0,1
69,0,0.008844254614631827,127.0,0,64.0,43.0,3262.0,1
70,2,0.002628632167762587,109.0,0,69.0,37.0,4455.0,1
71,0,0.009407359748407146,126.0,0,85.0,35.0,3318.0,1
72,0,0.0038336102426087407,109.0,0,73.0,34.0,4086.0,1
73,2,0.008647698267278146,94.0,0,90.0,38.0,3273.0,1
74,0,0.004258069752257589,60.0,0,74.0,36.0,3023.0,1
75,2,0.008058251247449435,90.0,0,50.0,30.0,4971.0,1
76,0,0.007967480007083617,50.0,0,52.0,38.0,2548.0,1
77,2,0.004625990624554299,132.0,0,61.0,31.0,2982.0,1
78,0,0.0054126940760306184,78.0,0,99.0,41.0,2584.0,1
79,2,0.0018910479546849982,54.0,0,81.0,39.0,4946.0,0
80,0,0.002499640771611944,90.0,0,58.0,37.0,3442.0,1
81,0,0.0045232476474943405,116.0,0,50.0,37.0,2935.0,1
82,2,0.008210794238820329,95.0,0,81.0,35.0,4355.0,1
83,0,0.002222088147597964,55.0,0,63.0,36.0,2768.0,1
84,0,0.007191294223289669,72.0,0,92.0,47.0,3689.0,1
85,0,0.006376120675380484,103.0,0,72.0,35.0,2511.0,1
86,0,0.009632641582943054,66.0,0,71.0,42.0,2644.0,1
87,2,0.002140178580601264,104.0,0,65.0,46.0,3198.0,1
88,0,0.009261581252330368,115.0,0,86.0,46.0,3174.0,1
89,0,0.0018355563639383021,58.0,0,64.0,46.0,2963.0,1
90,0,0.0014346995523697886,123.0,0,68.0,45.0,4026.0,1
91,2,0.0019583843930654527,97.0,0,82.0,32.0,3685.0,1
