,estimator,learning_rate,loss,max_depth,max_features,min_samples_leaf,n_estimators
38,0,0.18805775989695872,0,8.0,192.0,57.0,611.0
39,0,0.19213144988557693,0,3.0,160.0,17.0,250.0
40,0,0.1425289679882864,0,10.0,170.0,63.0,869.0
41,0,0.19894742249311093,0,3.0,200.0,41.0,482.0
42,0,0.13141644422314924,0,7.0,157.0,25.0,439.0
43,0,0.13813809337775435,1,7.0,187.0,6.0,488.0
44,0,0.16855721107470104,0,7.0,216.0,33.0,849.0
45,0,0.15306733143908255,0,5.0,213.0,15.0,428.0
46,0,0.19301681323693248,0,4.0,208.0,24.0,789.0
47,0,0.1205523565992114,0,6.0,180.0,38.0,905.0
48,0,0.14952772898385097,0,5.0,216.0,12.0,582.0
49,0,0.18946630459785838,0,7.0,204.0,25.0,901.0
50,0,0.16915372875007986,0,8.0,180.0,10.0,853.0
51,0,0.14632329274712494,0,10.0,207.0,30.0,326.0
52,0,0.0753301360402254,0,10.0,189.0,29.0,745.0
53,0,0.19068168668976865,0,8.0,171.0,42.0,582.0
54,0,0.1749875271482621,0,5.0,181.0,12.0,578.0
55,0,0.1665385905476296,0,6.0,183.0,7.0,586.0
56,0,0.199579080956133,0,3.0,198.0,5.0,104.0
57,0,0.11602619187510124,0,3.0,181.0,15.0,922.0
58,0,0.18887273500318152,0,8.0,218.0,28.0,678.0
59,0,0.12109791293606662,0,9.0,169.0,20.0,492.0
60,0,0.10740114756894815,0,8.0,151.0,44.0,980.0
61,0,0.1726458871844014,0,3.0,172.0,30.0,225.0
62,0,0.18617724474622668,0,5.0,183.0,14.0,759.0
63,0,0.16678492179010257,0,5.0,167.0,49.0,803.0
64,0,0.1818360992410858,0,6.0,184.0,5.0,514.0
65,0,0.19837172385184898,0,7.0,163.0,42.0,639.0
66,0,0.19726394348528523,0,2.0,214.0,68.0,852.0
67,0,0.1670184018751505,0,5.0,182.0,37.0,722.0
68,0,0.1790555678284123,0,5.0,156.0,7.0,857.0
69,0,0.13533186287398138,0,7.0,162.0,6.0,243.0
70,0,0.13205266609795757,0,10.0,205.0,20.0,589.0
71,0,0.1628486656353812,0,10.0,197.0,6.0,307.0
72,0,0.1922868709828785,0,10.0,166.0,6.0,306.0
73,0,0.09421848385589651,0,3.0,210.0,12.0,775.0
74,0,0.1647791659455694,0,6.0,172.0,16.0,366.0
75,0,0.13801381256707498,1,3.0,199.0,7.0,399.0
76,0,0.1981727800512573,0,7.0,176.0,31.0,977.0
