,colsample_bylevel,colsample_bynode,colsample_bytree,estimator,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda
37,0.4153320583264656,0.30708521172503034,0.527606967403607,0,0.05061455504714656,0.14927443858974038,6.0,6.0,168.0,0.003100504397975934,0.6887870654253997
38,0.6718018088326344,0.2052120227698208,0.5644231525496399,0,0.0025960030192781714,0.08510067953473281,4.0,5.0,983.0,0.2807950841561861,0.1872625026973749
39,0.27846485011668753,0.6968801616779359,0.28414424792744514,0,0.0017230513517450317,0.10806452485340817,10.0,6.0,575.0,0.20370213760977282,0.17494813492649347
40,0.4595450483019226,0.4920078931345543,0.23499414531371174,0,0.0037030294311306174,0.1589674346189012,9.0,6.0,272.0,0.31131504296268375,0.7835779105928555
41,0.49155474420747075,0.9967016660593694,0.6599391701402586,0,0.0016924816577794533,0.1759016850151937,8.0,2.0,310.0,0.63456286952457,0.6506128877008914
42,0.7804809692138259,0.6691876693616157,0.8456524015353604,0,0.0003652076771324026,0.12695049648116494,6.0,3.0,75.0,0.2701339983116524,0.9683780356296666
43,0.7146574010550159,0.22962521494098315,0.31416108986251684,0,0.017391413926247726,0.17794027506918902,9.0,6.0,944.0,0.009941507623739299,0.6300101666633675
44,0.9967481674256515,0.8918741818100087,0.9550718037341038,0,2.832873927082895e-05,0.0648810487354841,4.0,8.0,290.0,0.35446975503921463,0.15502947894410418
45,0.7028009311383455,0.23279893591959405,0.2502136261594728,0,0.002056096240178471,0.07478999414301875,10.0,7.0,618.0,0.4706845907860839,0.3834658988227822
46,0.7097867362477805,0.9369691486702247,0.8584842559142595,0,0.0034878951315214816,0.163263226808099,8.0,3.0,328.0,0.44326152495616056,0.32126920020783917
47,0.9453420164616709,0.2173681149340534,0.6744702454431664,0,0.0015616157751039972,0.07609886176412757,6.0,6.0,691.0,0.31829926603145997,0.9178323321479962
48,0.7419923538022838,0.8290639983710398,0.7417296407284897,0,0.0010619460824245167,0.14628468955889332,8.0,4.0,841.0,0.041507568657807414,0.9631670329836443
49,0.3514379654686596,0.4814330507582111,0.8453622616555162,0,0.0009174127252579733,0.14578427390129872,5.0,1.0,651.0,0.7138785007212831,0.24634697686218082
50,0.48658084836575066,0.7935759720219594,0.9501881785976974,0,0.0009122003452965433,0.1369666608524555,5.0,5.0,751.0,0.10562987967091798,0.5902270666333711
51,0.7139309753776402,0.5989048788238892,0.8782631628877777,0,0.0013691554283480067,0.10247438094601101,8.0,3.0,838.0,0.07510811021732111,0.24761939677405423
52,0.7336603897006573,0.4904228154967138,0.2929552357586166,0,0.0018993290965480733,0.10848414116954608,6.0,5.0,774.0,0.08747601808310713,0.999669102176969
53,0.4669550354864199,0.23094539399651723,0.8129938980385343,0,0.006261061646270095,0.19913624694588394,9.0,4.0,680.0,0.9573681855340342,0.03196070766290737
54,0.4844012779954809,0.22938611228194128,0.30130329826848506,0,0.0010104893552963221,0.17096126525606462,9.0,2.0,555.0,0.07011301117461612,0.18367851214931058
55,0.8561432206676826,0.36297362706610814,0.4971587198030014,0,0.0010052545012498026,0.1796533172947376,7.0,1.0,686.0,0.005056171691162903,0.26048957712250653
56,0.9873578866879223,0.27221668745152705,0.5883425818137925,0,0.00047676726135885937,0.09785253913528351,4.0,6.0,397.0,0.2208479335683145,0.6769669496478218
