Date,Portfolio
2012-11-23,-0.061152083
2012-12-04,2.96311983
2012-12-13,0.788983536
2012-12-24,3.264353868
2013-01-07,0.668929789
2013-01-16,1.661901628
2013-01-28,0.01963512
2013-02-06,0.019380692
2013-02-15,-0.249218699
2013-02-27,2.126293754
2013-03-11,-0.355426461
2013-03-20,0.047066373
2013-04-01,3.222074953
2013-04-10,-2.11549536
2013-04-19,4.735414552
2013-04-30,2.315874104
2013-05-10,0.249030148
2013-05-22,-1.011281252
2013-06-03,-0.100543682
2013-06-13,-3.935317138
2013-06-24,2.397517053
2013-07-03,4.463611256
2013-07-15,1.392279827
2013-07-24,0.92901736
2013-08-02,0.578613588
2013-08-13,-3.786042912
2013-08-27,6.873786642
2013-09-06,3.577963357
2013-09-17,1.713459596
2013-09-26,-2.478738422
2013-10-08,4.597605804
2013-10-18,0.550460048
2013-10-29,-1.347226212
2013-11-07,1.99662554
2013-11-18,-0.175772137
2013-11-27,0.050839695
2013-12-09,0.113517188
2013-12-18,3.253029366
2013-12-30,-0.129835453
2014-01-10,0.408970214
2014-01-22,-4.905418847
2014-02-04,5.022812946
2014-02-13,1.666111111
2014-02-25,2.553689071
2014-03-06,-1.001538462
2014-03-17,-0.770822575
2014-03-26,3.36877193
2014-04-04,-1.212957987
2014-04-15,1.497209162
2014-04-25,1.146617211
2014-05-09,2.190610284
2014-05-20,2.123757362
2014-05-30,2.304183314
2014-06-12,0.920383235
2014-06-23,0.156870268
2014-07-02,0.611708428
2014-07-14,1.058281709
2014-07-23,-3.12154077
2014-08-01,0.507125013
2014-08-12,1.441912034
2014-08-22,1.714748603
2014-09-03,-0.718721823
2014-09-12,-2.94886047
2014-09-23,-3.831707355
2014-10-02,-4.225404742
2014-10-15,3.49132468
2014-10-24,1.859024866
2014-11-04,1.471633651
2014-11-13,2.268759124
2014-11-24,-0.58441933
2014-12-04,-3.976857211
2014-12-15,3.352987563
2014-12-24,-2.682266711
2015-01-07,-0.412987829
2015-01-16,1.455340593
2015-01-28,1.787887875
2015-02-06,0.964972376
2015-02-23,-0.959672131
2015-03-04,-2.137208446
2015-03-13,5.238590078
2015-03-24,-1.65481271
2015-04-02,3.691231814
2015-04-14,1.891760859
2015-04-23,-1.516882555
2015-05-06,3.049819141
2015-05-15,-1.546176557
2015-05-27,-1.426813597
2015-06-05,0.158554015
2015-06-16,1.141407035
2015-06-25,-0.887899199
2015-07-07,4.219586988
2015-07-16,-2.643605713
2015-07-27,2.421327657
2015-08-05,-1.608461538
2015-08-14,-10.65102407
2015-08-25,4.305145019
2015-09-03,1.439335062
2015-09-15,-2.324340246
2015-09-24,8.976107176
2015-10-07,1.944938407
2015-10-19,0.978321048
2015-10-28,0.315321571
2015-11-06,-2.260223443
2015-11-17,-0.580011734
2015-11-27,-1.948088962
2015-12-08,-1.024961322
2015-12-17,-0.017899878
2015-12-29,-7.46410436
2016-01-11,-2.84267316
2016-01-21,6.630098731
2016-02-01,-2.059527235
2016-02-16,1.161301301
2016-02-25,1.425648855
2016-03-08,3.266921421
2016-03-17,0.178648268
2016-03-29,-0.665424222
2016-04-07,7.327235599
2016-04-19,-1.163488978
2016-04-28,-0.524226676
2016-05-11,-0.536218143
2016-05-20,2.623117044
2016-06-01,-0.260845921
2016-06-13,2.521826981
2016-06-22,0.848803937
2016-07-01,2.342418415
2016-07-13,1.873613159
2016-07-22,-0.79067515
2016-08-02,4.709498328
2016-08-11,0.167449118
2016-08-23,-0.518890392
2016-09-01,-2.258989405
2016-09-13,4.245234527
2016-09-27,-0.275283263
2016-10-07,-0.664277457
2016-10-18,-1.233624967
2016-10-27,-0.067987685
2016-11-07,2.255632699
2016-11-16,1.848472622
2016-11-28,3.523556382
2016-12-07,-0.736438824
2016-12-16,-0.900668335
2016-12-28,3.982225425
2017-01-10,0.091694469
2017-01-20,2.880318506
2017-02-02,2.172717671
2017-02-13,1.424945227
2017-02-23,0.212132622
2017-03-07,2.474192962
2017-03-16,-2.135134955
2017-03-27,-0.792311396
2017-04-05,-0.13310987
2017-04-17,2.899178635
2017-04-26,2.356878901
2017-05-11,1.949112207
2017-05-22,0.733998543
2017-06-01,0.050318845
2017-06-13,-0.247224412
2017-06-22,0.707868217
2017-07-03,2.862642325
2017-07-13,1.912238806
2017-07-24,1.376436643
2017-08-02,-1.40480411
2017-08-11,3.611164958
2017-08-23,1.274776555
2017-09-01,1.258556501
2017-09-13,0.258230088
2017-09-22,1.216737827
2017-10-11,-0.14
2017-10-20,-0.055452965
2017-10-31,0.313759723
2017-11-09,-0.020768491
2017-11-20,1.450417029
2017-11-30,0.458332646
2017-12-11,-0.55557555
2017-12-20,5.666592447
2018-01-03,2.709431026
2018-01-12,2.808899212
2018-01-23,-1.376021189
2018-02-01,-5.892919412
2018-02-12,5.31068929
2018-02-23,-0.715773345
2018-03-07,0.907227926
2018-03-16,-5.442091598
2018-03-27,-0.325910339
2018-04-06,2.552478386
2018-04-17,-0.519311991
2018-04-26,1.186925228
2018-05-09,-1.086033111
2018-05-18,0.45046521
2018-05-30,1.21637716
2018-06-11,-1.17721436
2018-06-21,-1.302079908
2018-07-02,2.004522145
2018-07-12,0.315694672
2018-07-23,1.669022212
2018-08-01,0.734179864
2018-08-10,1.064991756
2018-08-22,-0.17384216
2018-08-31,-0.457179592
2018-09-11,4.225753092
2018-09-20,-3.262419825
2018-10-05,-3.066536666
2018-10-17,-5.511404304
2018-10-26,5.523304888
2018-11-06,-1.2018975
2018-11-15,-2.036654059
2018-11-26,-100
,
