,activation,alpha,batch_size,estimator,hidden_layer_sizes1,hidden_layer_sizes2,max_iter,solver
98,0,0.007750140476816457,110.0,0,86.0,35.0,3049.0,1
99,2,0.0047652893575143565,77.0,0,83.0,42.0,2970.0,1
100,0,0.005571283231913776,125.0,0,62.0,34.0,4505.0,1
101,0,0.009641541658399961,57.0,0,75.0,40.0,3353.0,1
102,0,0.007561215483526872,137.0,0,80.0,46.0,3404.0,1
103,0,0.0017840255507885635,64.0,0,81.0,37.0,3524.0,1
104,0,0.004244184065882867,79.0,0,58.0,33.0,4823.0,1
105,0,0.007683271980214184,100.0,0,96.0,42.0,4861.0,1
106,0,0.004122581707099086,82.0,0,55.0,32.0,3753.0,1
107,2,0.004064093868315464,134.0,0,55.0,32.0,3785.0,0
108,0,0.0049736699584307185,76.0,0,62.0,44.0,3348.0,1
109,2,0.0099536955506366,53.0,0,64.0,46.0,3008.0,1
110,0,0.009676569853621472,77.0,0,93.0,43.0,3224.0,1
111,2,0.007342555455201197,106.0,0,64.0,36.0,2683.0,1
112,0,0.00998380638804896,98.0,0,74.0,30.0,3276.0,1
113,0,0.007114996685241515,54.0,0,66.0,42.0,2714.0,1
114,2,0.003968264463281538,107.0,0,80.0,43.0,3655.0,1
115,0,0.004153858452913722,65.0,0,83.0,30.0,4807.0,1
116,0,0.003140817784250051,56.0,0,92.0,45.0,4612.0,1
117,2,0.008611079416546452,59.0,0,92.0,37.0,4204.0,1
118,0,0.005737023982747443,94.0,0,77.0,35.0,3555.0,1
119,0,0.003012627193849224,138.0,0,96.0,38.0,4001.0,1
120,0,0.0024382541304664726,129.0,0,61.0,43.0,4998.0,1
121,2,0.006699252104893001,116.0,0,97.0,30.0,3809.0,1
122,0,0.00835752161385181,112.0,0,58.0,41.0,4096.0,1
123,2,0.009927872212071847,121.0,0,84.0,30.0,4070.0,1
124,2,0.007422302234016699,79.0,0,80.0,33.0,2979.0,1
125,2,0.002203721145190603,101.0,0,75.0,44.0,4112.0,1
126,0,0.006378450053458184,119.0,0,67.0,48.0,3572.0,1
127,2,0.003109316734988997,122.0,0,51.0,37.0,2978.0,1
128,2,0.005501864834674157,121.0,0,72.0,32.0,3474.0,1
