Date,Predict,Expected
2013-04-10,158.08049071952613,156.17
2013-04-19,158.64853729160657,160.45
2013-04-30,162.75548041358843,164.23
2013-05-10,166.27652717583584,166.79
2013-05-22,165.8628924138616,165.17
2013-06-03,163.8321139221991,165.07
2013-06-13,163.1076064721914,158.64
2013-06-24,160.28810380406077,162.12
2013-07-03,165.8860703788172,169.15
2013-07-15,169.94299441121245,169.47
2013-07-24,170.8472295940571,171.86
2013-08-02,171.29475064977944,170.58
2013-08-13,169.2270258597875,164.19
2013-08-27,165.62820497877877,166.89
2013-09-06,170.09935422909854,171.99
2013-09-17,172.62855898696313,170.58
2013-09-26,170.06124726986818,166.42
2013-10-08,170.59634460033584,175.33
2013-10-18,176.394017891329,178.24
2013-10-29,177.72254565394636,175.91
2013-11-07,179.21404238489586,180.52
2013-11-18,181.079528633246,182.14
2013-11-27,180.87827459962037,182.39
2013-12-09,180.94875238242463,182.67
2013-12-18,183.96336233295875,184.88
2013-12-30,184.28015377585623,185.23
2014-01-10,184.1858172068391,185.39
2014-01-22,180.020813125686,176.37
2014-02-04,181.62338561242532,184.11
2014-02-13,184.8879567763552,185.95
2014-02-25,188.44757175270772,189.28
2014-03-06,187.6959003201156,187.46
2014-03-17,188.21487579898084,186.09
2014-03-26,188.1551745389596,187.56
2014-04-04,186.04522441660717,185.36
2014-04-15,187.91269929265337,187.45
2014-04-25,188.9844551911782,189.21
2014-05-09,190.53863612509483,188.68
2014-05-20,192.28670884357476,193.87
2014-05-30,195.9526390882426,194.73
2014-06-12,196.52269989826476,198.1
2014-06-23,196.83815102538827,198.49
2014-07-02,198.45202742658117,198.85
2014-07-14,198.51272124396442,199.9
2014-07-23,197.67865218263483,193.74
2014-08-01,194.40511363652757,194.8
2014-08-12,198.78381924710428,200.46
2014-08-22,201.1655364917491,201.85
2014-09-03,201.56624024804262,200.48
2014-09-12,202.27984377728987,200.28
2014-09-23,198.21871260531952,195.68
2014-10-02,195.69076532711696,187.49
2014-10-15,190.96931411627818,197.68
2014-10-24,200.82479201570075,202.43
2014-11-04,204.30684141636672,205.49
2014-11-13,206.97599462197857,208.68
2014-11-24,208.20616360258623,209.05
2014-12-04,207.74417261263068,200.82
2014-12-15,205.29506654902468,209.29
2014-12-24,206.14052497026913,203.76
2015-01-07,204.52150330865598,203.0
2015-01-16,205.5338567156662,201.52
2015-01-28,204.34022000842475,206.95
2015-02-06,208.64950351233463,212.67
2015-02-23,213.3019140225507,211.71
2015-03-04,210.65795844449062,207.27
2015-03-13,209.68300381121952,211.17
2015-03-24,210.35228374185445,207.76
