Date,Predict,Expected
2011-12-28,49.310936974459516,50.09
2012-01-10,50.01481296942484,51.93
2012-01-20,52.259138565319994,53.07
2012-02-02,53.300996991667795,53.88
2012-02-13,54.02227840520307,54.82
2012-02-23,54.771727270292395,52.74
2012-03-06,53.79211951229085,55.13
2012-03-15,54.95696967493207,55.48
2012-03-26,55.11224950220808,53.34
2012-04-04,53.00329914479869,53.54
2012-04-17,53.10933251362837,53.84
2012-04-26,52.93056616616303,51.84
2012-05-08,51.35605545976793,48.46
2012-05-17,48.81862083364186,48.71
2012-05-29,47.554145761803035,48.51
2012-06-08,48.86199727707236,50.18
2012-06-19,48.47001035820867,48.22
2012-06-28,49.81032844522544,49.0
2012-07-10,49.09091083425824,50.33
2012-07-19,48.707055501970565,50.31
2012-07-30,50.610927009764836,51.75
2012-08-08,51.99932519719172,52.24
2012-08-20,52.37793113609946,51.92
2012-08-29,52.60448380803236,52.84
2012-09-10,54.33549119732016,54.86
2012-09-19,53.891789350536584,53.0
2012-09-28,53.71484438567334,53.23
2012-10-11,54.697393702580875,54.52
2012-10-22,53.798439986723736,53.685
2012-11-02,53.683240852061545,52.5
2012-11-13,52.840875505848274,54.54
2012-11-23,54.81884964728477,55.275
2012-12-04,55.831983258094255,55.88
2012-12-13,56.49144050892104,56.36
2012-12-24,56.826038685259626,57.22
2013-01-07,57.59222150751641,57.74
2013-01-16,58.78176069456563,58.74
2013-01-28,59.02653742487449,58.64
2013-02-06,58.53545035211892,58.43
2013-02-15,58.70390472652656,58.28
2013-02-27,59.05661589785447,59.56
2013-03-11,59.59693396928213,59.39
2013-03-20,59.21809499497222,58.17
2013-04-01,58.88620874511049,60.085
2013-04-10,59.91938656989062,59.1
2013-04-19,61.18487792111216,61.94
2013-04-30,62.696089997959234,62.69
2013-05-10,63.04634109922236,62.89
2013-05-22,61.48929708112074,60.3
2013-06-03,59.87584461974801,60.46
2013-06-13,59.55823907362868,57.03
2013-06-24,57.51982293557067,57.57
2013-07-03,59.194425015917254,60.18
2013-07-15,60.73762656222268,61.06
2013-07-24,60.802913249737344,61.67
2013-08-02,61.53787541521288,62.07
2013-08-13,61.5550739174042,60.08
2013-08-27,59.823387204924465,61.13
2013-09-06,62.17008800576199,63.36
2013-09-17,64.39425669163028,64.49
2013-09-26,63.99842319725898,62.7
2013-10-08,64.72462125021485,66.08
2013-10-18,66.39372290363121,66.49
2013-10-29,66.0115908552819,64.84
2013-11-07,65.48939896995277,66.18
2013-11-18,65.96496160667054,66.11
2013-11-27,65.45698580397503,65.3
2013-12-09,64.9120187190731,64.7
2013-12-18,65.76969926234166,66.85
2013-12-30,66.5130762021809,66.81
2014-01-10,66.83420119866605,67.13
2014-01-22,65.3135803900333,63.03
2014-02-04,65.35478813835441,66.24
2014-02-13,66.91526111276144,67.39
2014-02-25,67.34926846667616,68.03
2014-03-06,66.69536886754085,65.94
2014-03-17,65.95791994543305,66.03
2014-03-26,66.83733157935046,67.36
2014-04-04,67.22209968439692,66.36
2014-04-15,67.52599768026997,67.4
2014-04-25,68.13171223445052,68.22
2014-05-09,68.6421260921444,67.92
2014-05-20,68.96731776990762,69.41
2014-05-30,69.86387493143576,69.67
2014-06-12,70.2538149539669,70.36
2014-06-23,69.3163165686343,69.08
2014-07-02,68.49771232121053,67.97
2014-07-14,67.90818789843395,68.07
2014-07-23,67.62043963776644,66.13
2014-08-01,66.05122230686148,65.48
2014-08-12,66.3775046125423,66.47
2014-08-22,66.76925534482474,67.31
2014-09-03,66.6295040648736,66.02
2014-09-12,66.02568695274914,65.13
2014-09-23,64.4396497396155,62.68
2014-10-02,61.14268262005715,60.09
2014-10-15,60.94483471034785,62.23
2014-10-24,62.819236049327934,63.04
2014-11-04,63.1615493453868,63.27
2014-11-13,63.3010170486029,64.15
2014-11-24,64.24562693466564,63.82
2014-12-04,62.384995118290256,59.97
2014-12-15,60.92174562807392,62.08
2014-12-24,59.91880860990912,59.13
2015-01-07,59.560631845370324,60.79
2015-01-16,61.48676666490217,61.36
2015-01-28,62.24994790540841,62.5
2015-02-06,62.80376610431291,64.8
2015-02-23,64.95640068100047,64.54
2015-03-04,63.68960013150862,63.09
2015-03-13,64.69439565506113,65.85
2015-03-24,65.30462771703354,65.19
2015-04-02,65.69668844713227,66.33
2015-04-14,66.51737833445122,67.01
2015-04-23,67.22457409519004,66.35
2015-05-06,67.2635950468069,68.42
2015-05-15,68.24958500611888,67.41
2015-05-27,67.20405194054385,65.63
2015-06-05,66.37532783629727,65.78
2015-06-16,66.79424285104527,65.77
2015-06-25,64.67667966654321,62.71
2015-07-07,63.92466826970078,65.4
2015-07-16,64.98555253113784,63.42
2015-07-27,64.26781888648814,65.0
2015-08-05,64.73226496892069,64.0
2015-08-14,61.18007352295771,58.4
2015-08-25,59.9906042876215,58.96
2015-09-03,58.46574878839441,59.39
2015-09-15,59.38430670524626,56.96
2015-09-24,58.39013416904897,60.46
2015-10-07,60.70773097562534,61.05
2015-10-19,61.68869347790981,61.69
2015-10-28,61.460098863125346,60.94
2015-11-06,60.196656264076424,60.2
2015-11-17,60.75721682305572,60.7
2015-11-27,60.87491677096414,59.56
2015-12-08,59.18540382968781,58.97
2015-12-17,58.739135804887916,59.88
2015-12-29,57.68017998920741,55.16
2016-01-11,54.1895176144047,52.92
2016-01-21,54.38992551004958,55.42
2016-02-01,53.29868964466059,53.341
2016-02-16,54.043155199192306,54.09
2016-02-25,54.537016481584395,55.74
2016-03-08,56.34667805173061,57.6
2016-03-17,57.1860018575918,57.3
2016-03-29,56.558482222198975,55.4
2016-04-07,57.6638661901678,59.82
2016-04-19,59.48650696901276,58.68
2016-04-28,58.380081392091725,57.58
2016-05-11,57.37535943549714,57.31
2016-05-20,58.25995717746107,58.33
2016-06-01,58.652212381700174,56.32
2016-06-13,57.075063456426555,57.12
2016-06-22,55.81959636734138,55.82
2016-07-01,55.718120105645745,56.76
2016-07-13,56.88324462779163,57.04
2016-07-22,57.36656743573856,57.37
2016-08-02,57.80572720900687,58.96
2016-08-11,59.00224744333117,59.1
2016-08-23,58.723566583390856,58.75
2016-09-01,59.350089251013216,57.82
2016-09-13,58.87045802458334,58.99
2016-09-27,59.04280965486236,58.58
2016-10-07,58.27956837458652,58.07
2016-10-18,58.17086285269813,57.81
2016-10-27,57.45941331283479,57.35
2016-11-07,57.322771151779165,56.39
2016-11-16,56.61178697478864,56.49
2016-11-28,57.310855848124426,58.52
2016-12-07,58.74905783167945,58.13
2016-12-16,57.949773502026986,57.39
2016-12-28,58.51926509767622,58.97
2017-01-10,59.34608314465821,59.39
2017-01-20,60.025544144080435,59.9
2017-02-02,59.96886943489661,60.38
2017-02-13,60.607006470275905,60.83
2017-02-23,60.692889876909895,60.53
2017-03-07,61.24699613908733,62.07
2017-03-16,62.06502622641741,62.3
2017-03-27,62.463793110453054,61.85
2017-04-05,61.78763736607982,61.97
2017-04-17,63.222021001760076,63.81
2017-04-26,64.74902916520156,64.88
2017-05-11,65.39468459401911,66.19
2017-05-22,66.12273695659883,66.49
2017-06-01,66.51595448949442,66.57
2017-06-13,65.97788236611453,64.98
2017-06-22,65.47948912049964,65.12
2017-07-03,65.12861088075731,65.86
2017-07-13,66.4082293905929,66.37
2017-07-24,67.08031678068802,67.33
2017-08-02,67.10750434121834,65.95
2017-08-11,66.58230863721852,66.5
2017-08-23,66.75225949170735,66.99
2017-09-01,67.47826681966096,67.88
2017-09-13,68.18854778470816,68.39
2017-09-22,68.7856677417461,69.27
2017-10-11,69.44381190967295,69.34
2017-10-20,69.17680866430042,69.63
2017-10-31,69.84770071580166,69.47
2017-11-09,69.30575603231105,69.06
2017-11-20,70.10085961393271,70.11
2017-11-30,69.78406678488217,70.02
2017-12-11,70.34859484258641,69.68
2017-12-20,70.26970420393215,71.17
2018-01-03,71.67248216642307,73.5
2018-01-12,73.84926134767014,74.75
2018-01-23,74.25793120127226,74.05
2018-02-01,70.48624626854499,69.64
2018-02-12,70.37714986846393,71.34
2018-02-23,70.1367787619902,70.18
2018-03-07,70.49708906098054,70.47
2018-03-16,68.59928574549032,68.65
2018-03-27,69.12712434155266,69.4
2018-04-06,69.83727651966935,71.22
2018-04-17,71.06832072894926,70.9
2018-04-26,70.63198764595248,71.12
2018-05-09,71.39252358107767,71.33
2018-05-18,69.5666652532853,69.84
2018-05-30,69.8111055812324,70.86
2018-06-11,68.46609138101891,67.09
2018-06-21,66.82225228561715,66.36
2018-07-02,66.82180131065478,67.58
2018-07-12,67.69285246689138,68.07
2018-07-23,68.41891568361511,68.53
2018-08-01,68.03798580550004,66.74
2018-08-10,66.47258291972304,67.41
2018-08-22,67.16980652521241,67.34
2018-08-31,66.29918246406328,65.89
2018-09-11,66.59701475537295,68.6
2018-09-20,67.43411740118066,66.41
2018-10-05,64.80426691418498,64.42
2018-10-17,62.59144477629126,61.43
2018-10-26,62.852095064879244,63.61
2018-11-06,63.25976984932364,62.89
2018-11-15,62.3349304206736,62.71
2018-11-26,62.48756535073821,61.95
2018-12-05,61.27583556776776,60.46
2018-12-14,58.620069289248114,58.21
