,estimator,learning_rate,loss,max_depth,max_features,min_samples_leaf,n_estimators
38,0,0.1746869744699553,0,9.0,159.0,71.0,735.0
39,0,0.11198244372137765,0,8.0,195.0,34.0,470.0
40,0,0.17728123329868237,0,6.0,216.0,11.0,993.0
41,0,0.16754879827093758,0,5.0,223.0,41.0,736.0
42,0,0.18540992600468514,0,6.0,222.0,32.0,960.0
43,0,0.16750324298078956,0,7.0,183.0,20.0,506.0
44,0,0.14175657676144326,0,6.0,174.0,5.0,340.0
45,0,0.19788460868701432,0,4.0,172.0,25.0,521.0
46,0,0.12333520756632052,0,9.0,161.0,22.0,508.0
47,0,0.10286455882374185,0,6.0,187.0,37.0,660.0
48,0,0.14128897527252018,0,4.0,223.0,5.0,738.0
49,0,0.17221577391448295,0,5.0,224.0,63.0,991.0
50,0,0.1276251311589157,0,6.0,198.0,9.0,890.0
51,0,0.1824102786779637,0,8.0,165.0,48.0,877.0
52,0,0.17367958597169852,1,4.0,169.0,16.0,934.0
53,0,0.07925322583616307,0,9.0,212.0,30.0,997.0
54,0,0.15836921607462517,0,7.0,168.0,67.0,860.0
55,0,0.19563946208497596,0,10.0,210.0,58.0,990.0
56,0,0.13809281614716423,0,5.0,202.0,8.0,119.0
57,0,0.17709413943797783,0,2.0,184.0,5.0,664.0
58,0,0.1391950405515468,0,3.0,190.0,20.0,219.0
59,0,0.08526863611137493,1,6.0,162.0,5.0,273.0
60,0,0.16768509747926685,0,10.0,187.0,61.0,932.0
61,0,0.16414504089634005,0,7.0,155.0,29.0,758.0
62,0,0.08725738174358663,0,5.0,150.0,5.0,781.0
63,0,0.1820215973779546,0,5.0,217.0,48.0,920.0
64,0,0.11714565656695192,0,9.0,156.0,5.0,621.0
65,0,0.18956295184978036,0,2.0,159.0,45.0,629.0
66,0,0.1881843413179544,0,4.0,201.0,17.0,842.0
67,0,0.16853392927058988,0,6.0,160.0,46.0,852.0
68,0,0.17486465989551764,0,8.0,182.0,49.0,987.0
69,0,0.16085789385950217,0,3.0,185.0,5.0,622.0
70,0,0.057756251708860847,0,7.0,201.0,8.0,795.0
71,0,0.13328214280478115,0,3.0,224.0,18.0,365.0
72,0,0.12907020546915882,0,5.0,154.0,21.0,513.0
73,0,0.16999277189080797,0,9.0,150.0,58.0,787.0
74,0,0.1531509336598777,0,5.0,206.0,22.0,247.0
75,0,0.0823248408730273,0,7.0,167.0,15.0,844.0
76,0,0.17680959841789143,0,6.0,203.0,8.0,72.0
77,0,0.1744541463352825,0,2.0,191.0,11.0,659.0
78,0,0.10589366256148224,0,4.0,194.0,5.0,465.0
79,0,0.13946256065406726,0,5.0,176.0,56.0,511.0
80,0,0.15455149993749484,0,8.0,159.0,28.0,146.0
81,0,0.07847594304415545,0,7.0,154.0,5.0,489.0
82,0,0.11954487555187125,0,2.0,157.0,41.0,835.0
83,0,0.1739169472670219,0,7.0,195.0,62.0,927.0
84,0,0.1627593108129603,0,9.0,196.0,41.0,667.0
85,0,0.1354292837197711,0,2.0,164.0,69.0,737.0
86,0,0.19806447718201867,1,9.0,189.0,11.0,125.0
87,0,0.09719454549087124,0,6.0,216.0,25.0,612.0
88,0,0.1702930135389591,1,5.0,184.0,46.0,975.0
89,0,0.1998265914804128,1,9.0,190.0,22.0,283.0
90,0,0.19868206276793843,0,9.0,166.0,12.0,513.0
91,0,0.07795550788676026,0,5.0,164.0,14.0,615.0
92,0,0.11891073883673102,0,7.0,185.0,32.0,553.0
93,0,0.15232516051538475,0,2.0,201.0,8.0,750.0
94,0,0.0750505436040666,1,7.0,203.0,9.0,370.0
