,Mkt-Rf,SMB,HML
1987-04-08,-0.0385493105078971,0.006075112230390825,0.0010840327035407035
1987-04-09,-0.00362378251335885,-0.02194976275747766,0.002658425344756469
1987-04-10,-0.012431092926703746,0.0013036657449952025,0.0005184238111139786
1987-04-11,-0.01662378251335885,0.004605401901486271,0.0021850104094339063
1987-04-13,0.011768907073296253,-0.0021056480901471123,0.008682306956430401
1987-04-14,-0.01153838995505864,-0.012217811497199936,0.000742985981833047
1987-04-15,-0.006527439396229367,-0.009157052051934903,0.009713044423233074
1987-04-16,-0.0010201222719220188,0.000880960801395532,0.003190658329010155
1987-04-17,-0.00342378251335885,-0.005726861183931682,0.005678001723171892
1987-04-18,-0.007612791688583003,0.0028964150442873406,0.014518576006191221
1987-04-20,-0.004612791688583003,0.007161269785361995,0.011608465956873183
